2025-08-25 03:22:29 | INFO     | EarlyBotTrading | ================================================================================
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 🚀 EARLY-BOT-TRADING - SYSTÈME DE LOGGING INITIALISÉ
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | ================================================================================
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 📁 Fichier log principal: /Users/johan/ia_env/bot-trading-/Early-Bot-Trading/logs/early_bot_20250825_032229.log
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 🚨 Fichier erreurs: /Users/johan/ia_env/bot-trading-/Early-Bot-Trading/logs/early_bot_errors_20250825_032229.log
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 💰 Fichier trading: /Users/johan/ia_env/bot-trading-/Early-Bot-Trading/logs/early_bot_trading_20250825_032229.log
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 🔗 Fichier API: /Users/johan/ia_env/bot-trading-/Early-Bot-Trading/logs/early_bot_api_20250825_032229.log
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 🕐 Session démarrée: 2025-08-25 03:22:29
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | ================================================================================
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 🤖 Initialisation d'Early-Bot-Trading...
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 📊 Configuration chargée
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 🎯 Certification: TBPRO2025-1756037390
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 🔐 Configuration de l'exchange Coinbase...
2025-08-25 03:22:29 | DEBUG    | EarlyBotTrading | 📝 Création de l'instance CCXT Coinbase
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 🔐 Configuration CCXT terminée
2025-08-25 03:22:29 | INFO     | EarlyBotTrading | 🔐 Test authentification avec clés CDP...
2025-08-25 03:22:29 | DEBUG    | CoinbaseAPI | ✅ API GET fetch_balance
2025-08-25 03:22:31 | DEBUG    | CoinbaseAPI | ✅ API GET fetch_balance
2025-08-25 03:22:31 | DEBUG    | CoinbaseAPI | 📥 Réponse: Balance obtenue: 54 entrées
2025-08-25 03:22:31 | INFO     | EarlyBotTrading | ✅ Authentification CDP réussie !
2025-08-25 03:22:31 | DEBUG    | EarlyBotTrading | 📋 Récupération des comptes...
2025-08-25 03:22:31 | DEBUG    | CoinbaseAPI | ✅ API GET fetch_accounts
2025-08-25 03:22:31 | DEBUG    | CoinbaseAPI | ✅ API GET fetch_accounts
2025-08-25 03:22:31 | DEBUG    | CoinbaseAPI | 📥 Réponse: 51 comptes trouvés
2025-08-25 03:22:31 | DEBUG    | EarlyBotTrading | 📋 Traitement de 51 comptes...
2025-08-25 03:22:31 | DEBUG    | EarlyBotTrading | 📋 Compte 1/51: {'id': '137e1b01-dadf-5d8f-8545-520f4a554ad6', 'type': 'en', 'code': 'SOL', 'info': {'uuid': '137e1b01-dadf-5d8f-8545-520f4a554ad6', 'name': 'Portefeuille en SOL', 'currency': 'SOL', 'available_balance': {'value': '0', 'currency': 'SOL'}, 'default': True, 'active': True, 'created_at': '2025-08-05T10:43:04.183Z', 'updated_at': '2025-08-07T10:50:57.921563Z', 'deleted_at': None, 'type': 'ACCOUNT_TYPE_CRYPTO', 'ready': True, 'hold': {'value': '0', 'currency': 'SOL'}, 'retail_portfolio_id': 'f99c78fb-953a-56c1-a244-8529ee111adb', 'platform': 'ACCOUNT_PLATFORM_CONSUMER'}}
